Poligon,ORIGEN,PRO_F,ccaa_F,ESTRATOIFN,Superficie,NUT2_NOM,NUT3_NOM,TipesTR25,DesTipEstr,FCCARB,FORARB,FormArbol,n_distribu,Distribuci,n_sp1,Especie1,O1,n_estado1,Estado1,n_sp2,Especie2,O2,n_estado2,Estado2,n_sp3,Especie3,O3,n_estado3,Estado3,FCCMAT,n_FORmat,FormArbust,HMMAT,FCCHER,n_FORHER,FormHerbac,n_ATRIBUTO,atributo,FCCTOT,n_MODCOM,ModeloComb,TIPOBOSQUE,n_CLAIFN,UsoIFN,n_CLAMFE,UsoMFE,n_REGBIO,RegBio,LULUCF,Shape_Area,fid,Severitat
"2414880",MFE25,"25","51","16",8.38389189504,Cataluña,Lleida,"11",Bosque,"55","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"80","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"0",sin datos,"0","0",Sin datos,"30","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",83838.9189504,"9","3"
"2414825",MFE25,"25","51","65",19.3919053111,Cataluña,Lleida,"11",Bosque,"50","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"1",Uniforme,"45",Quercus ilex,"40","3",Latizal,"237",Juniperus oxycedrus,"40","2",Monte bravo,"243",Quercus humilis (Q. Pubescens),"10","3",Latizal,"35","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"8","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Masas mixtas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"131",193919.053111,"9","3"
"2414880",MFE25,"25","51","16",8.38389189504,Cataluña,Lleida,"11",Bosque,"55","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"80","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"0",sin datos,"0","0",Sin datos,"30","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",83838.9189504,"128","4"
"2414825",MFE25,"25","51","65",19.3919053111,Cataluña,Lleida,"11",Bosque,"50","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"1",Uniforme,"45",Quercus ilex,"40","3",Latizal,"237",Juniperus oxycedrus,"40","2",Monte bravo,"243",Quercus humilis (Q. Pubescens),"10","3",Latizal,"35","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"8","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Masas mixtas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"131",193919.053111,"128","4"
"2205251",MFE25,"25","51","16",78.7531634816,Cataluña,Lleida,"11",Bosque,"50","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"60","3",Latizal,"243",Quercus humilis (Q. Pubescens),"20","3",Latizal,"237",Juniperus oxycedrus,"10","2",Monte bravo,"25","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"4","20","0",,"0",Sin atributo,"95","2","Pasto fino, seco y bajo. Pl leñosas cubren  1/3 a 2/3 de la superficie",Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",787531.634816,"1","1"
"2414880",MFE25,"25","51","16",8.38389189504,Cataluña,Lleida,"11",Bosque,"55","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"80","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"0",sin datos,"0","0",Sin datos,"30","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",83838.9189504,"1","1"
"2414874",MFE25,"25","51","15",3.13752167406,Cataluña,Lleida,"11",Bosque,"75","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"70","3",Latizal,"243",Quercus humilis (Q. Pubescens),"10","3",Latizal,"24",Pinus halepensis,"10","4",Fustal,"15","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"100","7","Matorral de especies muy inflamables (h: 0,5-2 m) situado como sotobosque de masas de coníferas",Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",31375.2167406,"3","2"
"2205251",MFE25,"25","51","16",78.7531634816,Cataluña,Lleida,"11",Bosque,"50","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"60","3",Latizal,"243",Quercus humilis (Q. Pubescens),"20","3",Latizal,"237",Juniperus oxycedrus,"10","2",Monte bravo,"25","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"4","20","0",,"0",Sin atributo,"95","2","Pasto fino, seco y bajo. Pl leñosas cubren  1/3 a 2/3 de la superficie",Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",787531.634816,"3","2"
"2414880",MFE25,"25","51","16",8.38389189504,Cataluña,Lleida,"11",Bosque,"55","18",Encinares (Quercus ilex),"1",Uniforme,"45",Quercus ilex,"80","3",Latizal,"24",Pinus halepensis,"10","3",Latizal,"0",sin datos,"0","0",Sin datos,"30","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"5","10","0",,"0",Sin atributo,"95","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Frondosas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"111",83838.9189504,"3","2"
"2414857",MFE25,"25","51","65",73.5357643611,Cataluña,Lleida,"11",Bosque,"30","403",Mezcla de coníferas y frondosas autóctonas en la región biogeográfica Mediterránea,"6",Discontinua irregular,"45",Quercus ilex,"30","2",Monte bravo,"237",Juniperus oxycedrus,"30","2",Monte bravo,"24",Pinus halepensis,"20","2",Monte bravo,"45","160",Garrigas (matorrales pluriespecíficos calcícolas + termófilos),"7","25","0",,"0",Sin atributo,"100","5",Matorral  denso y  verde (h<1 m). Propagación del fuego por la hojarasca y el pasto,Masas mixtas,"111",Monte arbolado. Bosque,"110",Arbolado,"4",Mediterránea,"131",735357.643611,"9","3"
